"Product ID","Variant ID","Row Type",Title,SKU,"Variant Name",Barcode,Description,Details,Unit,Price,Sales,Cost,Stock,"Weight (kg)",Type,Status,Featured,"Manage Stock","Sales Count","Ratings Cache","Ratings Count","Currency Code","Is Demo","Is Active","Min Order Qty","Max Order Qty",Collections,"Options Names","Options Values","Main Image","Additional Images","SEO Title","SEO Description","Product Type",Vendor,Gender,"Age Group",Condition,"Google Product Category","Created At","Updated At",Source,"Source ID"
4692323,,product,"TIRTIR Pure Vitamin C24 Serum",,,,"TIRTIR Pure Vitamin C24 Serum - 30ml","<p>A stable, concentrated Vitamin C serum that brightens the complexion, fades dark spots and protects skin from oxidative stress. Works best as part of a morning routine.</p><p>Best for: Dark spots, dull skin, antioxidant protection</p>",pc,12370.00,,,5,,simple,0,0,1,0,,0,NGN,0,1,1,,Serums,,,https://dodptt9f4zk9h.cloudfront.net/stores/288034/products/90013f5681ed95d741c30d3a657cfa002a32a68b.jpeg,https://dodptt9f4zk9h.cloudfront.net/stores/288034/products/90013f5681ed95d741c30d3a657cfa002a32a68b.jpeg,,,,,,,,,"2026-04-24 15:24:25","2026-04-24 15:24:25",,
4692295,,product,"Some By Mi Brightening Starter Kit",,,,"Some By Mi Yuja Niacin Brightening Starter Kit","<p>A brightening starter set powered by yuja extract and niacin, perfect for anyone beginning their brightening journey or wanting to try the range before committing.</p><p>Best for: Dull skin, beginners to brightening, uneven skin tone</p><p><br></p>",pc,20000.00,,,5,,simple,0,0,1,0,,0,NGN,0,1,1,,"Face/Body Kits",,,https://dodptt9f4zk9h.cloudfront.net/stores/288034/products/9dac9561b70d9d88313f726dcf9faa2e69bbbe4d.jpeg,https://dodptt9f4zk9h.cloudfront.net/stores/288034/products/9dac9561b70d9d88313f726dcf9faa2e69bbbe4d.jpeg,,,,,,,,,"2026-04-24 15:18:42","2026-04-24 15:18:42",,
4692270,,product,"Some By Mi AHA BHA PHA 30 Days Miracle Toner",,,,"Some By Mi AHA BHA PHA 30 Days Miracle Toner - 30ml","<p>A travel-friendly toner loaded with AHA, BHA and PHA to gently exfoliate, clear pores and prep skin for the rest of your routine. Great for testing the line or topping up on the go.</p><p>Best</p>",pc,3485.00,,,5,,simple,0,0,1,0,,0,NGN,0,1,1,,Toners,,,https://dodptt9f4zk9h.cloudfront.net/stores/288034/products/821859a509abb4e20592c474d42d0eeb57866b86.jpeg,https://dodptt9f4zk9h.cloudfront.net/stores/288034/products/821859a509abb4e20592c474d42d0eeb57866b86.jpeg,,,,,,,,,"2026-04-24 15:12:44","2026-04-24 15:12:44",,
4691942,,product,"Some By Mi AHA BHA PHA 30 Days Miracle Serum",,,,"Some By Mi AHA BHA PHA 30 Days Miracle Serum","<p>A triple acid serum designed to transform skin in 30 days. Exfoliates, unclogs pores and smooths texture while calming active breakouts. A full-routine worker in one bottle.</p>",pc,13675.00,,,5,,simple,0,0,1,0,,0,NGN,0,1,1,,Serums,,,https://dodptt9f4zk9h.cloudfront.net/stores/288034/products/e370141f620861e82b733bf5f0844374195a06bf.jpeg,https://dodptt9f4zk9h.cloudfront.net/stores/288034/products/e370141f620861e82b733bf5f0844374195a06bf.jpeg,,,,,,,,,"2026-04-24 14:06:24","2026-04-24 14:06:24",,
4691887,,product,"SKIN1004 Madagascar Centella Tone Brightening Capsule Ampoule",,,,"SKIN1004 Madagascar Centella Tone Brightening Capsule Ampoule - 100ml","<p>A calming yet brightening ampoule packed with pure Madagascar Centella. Soothes irritation, evens skin tone and strengthens the skin barrier, all in one lightweight formula.</p><p>Best for: Sensitive skin, redness, uneven tone</p>",pc,10095.00,,,5,,simple,0,0,1,0,,0,NGN,0,1,1,,Serums,,,https://dodptt9f4zk9h.cloudfront.net/stores/288034/products/aba03ca7be0a3072e2fc2fcac903cfb70469c6a0.jpeg,https://dodptt9f4zk9h.cloudfront.net/stores/288034/products/aba03ca7be0a3072e2fc2fcac903cfb70469c6a0.jpeg,,,,,,,,,"2026-04-24 13:56:48","2026-04-24 13:56:48",,
4691691,,product,"Medicube TXA Niacinamide Capsule Cream",,,,"Medicube TXA Niacinamide Capsule Cream - 55g","<p>A brightening moisturiser with tranexamic acid and niacinamide encapsulated for slow, steady delivery into the skin. Tackles deep discolouration while keeping skin hydrated.</p><p>Best for: Stubborn pigmentation, melasma, uneven skin tone</p>",pc,14890.00,,,10,,simple,0,0,1,0,,0,NGN,0,1,1,,"Moisturiser & Face Cream",,,https://dodptt9f4zk9h.cloudfront.net/stores/288034/products/fde6178c03b0dfb196fb87ffe9d04d76568f167b.jpeg,https://dodptt9f4zk9h.cloudfront.net/stores/288034/products/fde6178c03b0dfb196fb87ffe9d04d76568f167b.jpeg,,,,,,,,,"2026-04-24 13:27:46","2026-04-24 13:27:46",,
4691654,,product,"Medicube Kojic Acid Turmeric Niacinamide Serum",,,,"Medicube Kojic Acid Turmeric Niacinamide Serum - 30ml","<p>A brightening serum that combines three heavy-hitting ingredients to target stubborn dark spots and hyperpigmentation. Lightweight and fast absorbing.</p><p>Best for: Dark spots, post-acne marks, uneven skin tone</p>",pc,10935.00,,,10,,simple,0,0,1,0,,0,NGN,0,1,1,,Serums,,,https://dodptt9f4zk9h.cloudfront.net/stores/288034/products/8bf1401ca9c1294370c0393c9c7bbaad2e90736c.jpeg,https://dodptt9f4zk9h.cloudfront.net/stores/288034/products/8bf1401ca9c1294370c0393c9c7bbaad2e90736c.jpeg,,,,,,,,,"2026-04-24 13:21:51","2026-04-24 13:21:51",,
4691616,,product,"Medicube Azelaic Acid Niacinamide Deep Clean Foam Cleanser",,,,"Medicube Azelaic Acid Niacinamide Deep Clean Foam Cleanser - 120g","<p>A powerful yet gentle foam cleanser that targets clogged pores, uneven texture and dullness in one step. Azelaic acid and niacinamide work together to clear and even the skin with every wash.</p><p>Best for: Acne-prone skin, uneven texture, oily skin</p>",pc,9375.00,,,5,,simple,0,0,1,0,,0,NGN,0,1,1,,"Face Wash",,,https://dodptt9f4zk9h.cloudfront.net/stores/288034/products/6c927e5b4e3dfabdf39b1e457ab9f8b9342f9d7e.jpeg,https://dodptt9f4zk9h.cloudfront.net/stores/288034/products/6c927e5b4e3dfabdf39b1e457ab9f8b9342f9d7e.jpeg|https://dodptt9f4zk9h.cloudfront.net/stores/288034/products/9320bb4b77683d7d1a62bf6d23b37bd697067973.jpeg,,,,,,,,,"2026-04-24 13:16:45","2026-04-24 13:16:45",,
4690134,,product,"KSECRET Seoul 1988 Eye Cream",,,,"KSECRET Seoul 1988 Eye Cream - Retinal Liposome 4% + Fermented Bean, 30ml","<p>A targeted eye cream combining retinal and fermented bean extract to visibly reduce fine lines, puffiness and dark circles around the delicate eye area.</p><p><strong style=""color: rgb(34, 45, 55);"">Best for:</strong> Fine lines, dark circles, signs of ageing around the eyes</p>",pc,9595.00,,,5,,simple,0,0,1,0,,0,NGN,0,1,1,,Underarm,,,https://dodptt9f4zk9h.cloudfront.net/stores/288034/products/835170bdcdd54515d72349da08d45d324a8a4d91.jpeg,https://dodptt9f4zk9h.cloudfront.net/stores/288034/products/835170bdcdd54515d72349da08d45d324a8a4d91.jpeg,,,,,,,,,"2026-04-24 00:20:12","2026-04-24 13:06:31",,
4690126,,product,"Jumiso Pore Purifying Salicylic Acid Cleanser",,,,"Jumiso Pore Purifying Salicylic Acid Cleanser - 120g","<p>A deep-cleansing face wash with salicylic acid that gets into pores, dissolves buildup and helps prevent breakouts. Leaves skin feeling thoroughly clean without over-drying.</p><p><strong style=""color: rgb(34, 45, 55);"">Best for:</strong> Oily skin, acne-prone skin, enlarged pores</p>",pc,6700.00,,,5,,simple,0,0,1,0,,0,NGN,0,1,1,,"Face Wash",,,https://dodptt9f4zk9h.cloudfront.net/stores/288034/products/b8d91f9d5f7f97f9138b4bb43e83ef93a6bce350.jpeg,https://dodptt9f4zk9h.cloudfront.net/stores/288034/products/b8d91f9d5f7f97f9138b4bb43e83ef93a6bce350.jpeg,,,,,,,,,"2026-04-24 00:13:13","2026-04-24 00:13:13",,
